Summary,Issue key,Issue id,Status,Project key,Project name,Priority,Assignee,Components,,Custom field (Root Cause)
Stab 4_IMCPPCOP LoBs_Line category typelist values for ClaimCost/Indemnity reserve values are displayed incorrectly,XXX-34126,213310,To Do,XXX,ANIC P&C Migration,Medium,Martin,ClaimCenter,,Coding
Auto > For few cases description Fields are not updating properly from Policy Level to the Covered Symbol Screen.,XXX-34125,213309,To Do,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab4_Rating_GL_Cancellation_Manuscript Premium is NOT displayed during Flat cancellation in Cost change detail tab.,XXX-34124,213308,To Do,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
Jasper CE - Orange Boarder line is not available on the prompts.,YYY-16552,213307,Ready for Dev,YYY,ANIC WC Migration,Medium,Williams,Jasper,,Coding
Jasper PE - Policy Review screen OCL checkbox are displayed incorrectly,YYY-16551,213306,To Do,YYY,ANIC WC Migration,Medium,Williams,Digital,,Coding
"Jasper CE - Filling a claim is always displaying ""Possibly duplicate claim"" message.",YYY-16550,213304,Ready for Dev,YYY,ANIC WC Migration,Medium,Williams,Jasper,,Coding
Stab4_XXX-31562-CPP_CP+Crime -Renewal- - Limit value should  increased based on the Inflation guard selected on Blanket screen and building screenOccupancy And Personal Property-not working ,XXX-34122,213303,To Do,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Stab4_PC_MEL_NewSubmission - User able to quote the policy without giving Minimum Premium value in line cov screen,XXX-34119,213300,In Dev,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab4_PC_CP_Renewal_Inflation guard set on blanket during submission is not applied during Renewal,XXX-34118,213299,To Do,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Jasper BC QA01 env_Documents are not getting generated under Account-->Documents Screen,YYY-16549,213296,To Do,YYY,ANIC WC Migration,High,Williams,BillingCenter,,Coding
PROD | GWCM Stage to EDW balance failure | 08/08,BBB-8080,213290,New Item,BBB,EDW Production Operations,Medium,Williams,,,Coding
Stab4_Integ_Medicare Reporting_The Delete Record is not getting created upon updating the Compensability status to Denied.,YYY-16548,213289,Requirements,YYY,ANIC WC Migration,High,Martin,Integrations,,Coding
BC should have sent the Rescind Cancellation to ESB for 24AWS13156,ZZZ-1449,213263,To Do,ZZZ,BillingCenter,Medium,Williams,BillingCenter,,Coding
Stab4_CC_Incident Limit is not displayed on Personal Property Coverage,XXX-34097,213260,To Do,XXX,ANIC P&C Migration,High,John,ClaimCenter,,Coding
"PE Submission for CA Generating an error message ""The Selected underwriting company (XYC Crop Premier Insurance Company) is not valid for all the states in the policy. ",EEE-1853,213258,To Do,EEE,PolicyCenter,Critical,Williams,ProducerEngage,,Coding
CLM00054 - WCIRB RBBBrt Validations 6.30.2024- Because of switching of States,BBB-8078,213256,Invalid/Duplicate,BBB,EDW Production Operations,Medium,Martin,,,Coding
Invalid Quote was generated unable to Rewrite,EEE-1852,213255,To Do,EEE,PolicyCenter,Medium,Williams,PolicyCenter,,Coding
UAT1 - Correct Form # IM 7420 Storage Location Coverage,XXX-34096,213254,To Do,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
MedicalBillFeedIndicator - Not Populated As Expected,BBB-8077,213253,New Item,BBB,EDW Production Operations,Medium,David,,,Coding
Stab3-CA7 Audit: Commercial Auto Enhancement Endorsement Coverages and its respective premiums should be displayed during Premium Report as with proration as per Reporting Period.,XXX-34095,213252,To Do,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
Stab3_CA7 Vehicle Import: Primary Class Code & Few Other details are getting reset to None for the Trucks imported through Vehicle Import/Export functionality when Location is changed for those respective Vehicles.,XXX-34094,213251,To Do,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
UAT1 - IM 7155 Sched of Coverages - Riggers Coverage and IM 7156 Riggers Legal Liability Coverage: UI is missing Deposit Premium and Minimum Premium also dropdown in Manual Premium does not display all options,XXX-34089,213246,To Do,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
PROD| GL Paid Loss – 10 records got errored out| 08/07,BBB-8074,213242,New Item,BBB,EDW Production Operations,Medium,Martin,,,Coding
UAT1 - Correct Form # IM 7419 Fraud and Deceit Limitation,XXX-34088,213240,To Do,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Generation Updates for State.LossAdjustmentFeePercentage and UnitAtRisk.USLHFeePercentage,BBB-8073,213239,New Item,BBB,EDW Production Operations,High,David,,,Coding
Stab4_PC_MEL_NewSubmission - Waiver of Our Right to Recover from Others Endorsement condition cov term issue,XXX-34087,213238,In Dev,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
 Stab4-  XXX-31569_CPP_Crime +GL_Policychange_mid term _invalid quote,XXX-34086,213237,To Do,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Prod| AL_UW_RES job failed on 08/07,BBB-8072,213236,Done,BBB,EDW Production Operations,Medium,Williams,,,Coding
ccst_claim : having error in Cpmicreateuserid_Ext,XXX-34085,213235,To Do,XXX,ANIC P&C Migration,Medium,Williams,Claims Conversion,,Coding
ccst_activity : error in Cpmicreateuserid_Ext,XXX-34084,213233,To Do,XXX,ANIC P&C Migration,Medium,Williams,Claims Conversion,,Coding
PE: Submission Intake rollback 2407 code,GGG-1478,213232,In Dev,GGG,GW Cloud Digital,Medium,Williams,,,Coding
Stab4_Rating_GeneralLiability-PolicyChange-> Flat premiums are not getting prorated,XXX-34083,213231,Ready for Dev,XXX,ANIC P&C Migration,Medium,Peter,Rating,,Coding
UAT1 - Correct Form # IM 7418 Breakage Limitation,XXX-34082,213230,To Do,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
PE: Policy Summary page Cancellation Date and Reason not on the same line,GGG-1477,213229,To Do,GGG,GW Cloud Digital,Medium,Williams,,,Coding
PE/CE: Payroll Reporting Sorting incorrectly,GGG-1476,213228,Requirements,GGG,GW Cloud Digital,Very High,Williams,,,Coding
Stab4 BC QA06env_Premium Deferral functionality-'Invoices are released from hold before submitting the Final Audit',XXX-34081,213227,To Do,XXX,ANIC P&C Migration,Medium,David,BillingCenter,,Coding
Stab 4_XXX-31555-CPP_CP+Crime +GL--Policy: View button not displayed-as not able to open doc in  QA6,XXX-34080,213226,Ready for Dev,XXX,ANIC P&C Migration,High,David,SmartCOMM,,Duplicate
Update ANIC Agency Lookup Table (ANICAgencyMapping) - Agencies A80 D50,BBB-8071,213225,Done,BBB,EDW Production Operations,Critical,Williams,,,
Stab4-  XXX-31548_CPP_Crime +GL_-Policy change for mid -term policy getting invalid quote in QA6,XXX-34079,213224,In Dev,XXX,ANIC P&C Migration,Very High,Williams,PolicyCenter,,Coding
UAT1 - Correct Form # IM 7360 Breakage Endorsement,XXX-34078,213222,To Do,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Jasper CE - FNOL Additional information page throwing error prompt upon routing back to previous screen with an added party on additional information page.,YYY-16546,213221,In Dev,YYY,ANIC WC Migration,Medium,Williams,Jasper,,Coding
Stab4_PC_PolicyChange_CP 1034 form should not trigger,XXX-34077,213219,Ready for QA,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Stab4_PC_PolicyChange_CP 530 form not triggered,XXX-34076,213218,In Dev,XXX,ANIC P&C Migration,Very High,David,PolicyCenter,,Coding
Stab4_PC_CU_Validation error is not throwing on adding WC internal policy with maritmine coverage with limit < 500000,XXX-34075,213217,In Dev,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
ODS_DetailCoverage AU Nonowned - INTSEC : Missing records in the ODS_DetailCoverage for AU Nonowned flow. ,AAA-6073,213216,Done,AAA,AAA,Medium,Williams,,,Coding
UAT1 - Occ/Agg Limits not showing on Risks screen for Flood/Earthquake when Blanket applies,XXX-34074,213214,To Do,XXX,ANIC P&C Migration,Medium,Peter,,,Coding
Stab4_Rating_Commercial Package_Renewal: Getting Invalid Quote during Renewal with Rules Mod value indicating Null in Partial Worksheet,XXX-34073,213212,In Dev,XXX,ANIC P&C Migration,High,Williams,Rating,,Coding
Stab 4_CC_All Lobs_Catastrophe_Perils Value Mismatch for Losstype Auto/property/Liability in Catastrophe Admin screen,XXX-34072,213211,Ready for Dev,XXX,ANIC P&C Migration,High,Martin,ClaimCenter,,Coding
QA environment - Invalid quote issue occured during policy change ,YYY-16545,213208,Done,YYY,ANIC WC Migration,Medium,Williams,Jasper,,Environment
IM 7205 01 12 & IM 7207 01 12 Commercial Inland Marine - Electronic Data Processing: Scheduled items are not mapped in the payload,XXX-34071,213207,To Do,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
PolicyChange_CP 15 45 09 17_Need Payload,XXX-34070,213205,To Do,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
PolicyChange_CP 04 17 10 12_Need Payload,XXX-34069,213204,To Do,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Render Exception occured in QA environment ,YYY-16544,213202,Ready for Dev,YYY,ANIC WC Migration,Medium,Peter,Jasper,,Coding
Stab4_PC_CU_Total Unmanned Aircrat Aircraft (Other Than Unmanned Aircraft) And Watercraft Liability Exclusion,XXX-34068,213201,Cancelled,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
QA1 - Application error when user click on Issue policy ,YYY-16543,213200,Done,YYY,ANIC WC Migration,Very High,Williams,Jasper,,Coding
PROD | Mismatch in UWPricingResponseScoringResultReason | 08/07,BBB-8070,213199,New Item,BBB,EDW Production Operations,Medium,Williams,,,Coding
Stab 4_CC_CPP CIM MEL WC_Catastrophe_In FNOL & Post FNOL Catastrophe dropdown values are not retrieved based on Loss type for CPP (Property) CIM MEL & WC.,XXX-34066,213196,In Dev,XXX,ANIC P&C Migration,Very High,John,ClaimCenter,,Coding
Jasper CE - Add User Creation Failing(Timeout),YYY-16542,213195,In Dev,YYY,ANIC WC Migration,High,Williams,Jasper,,Coding
custom_note : counts are not matching for Subject Conversion-Vehicle/Drivers,XXX-34065,213193,To Do,XXX,ANIC P&C Migration,Medium,Williams,Claims Conversion,,Coding
custom_note : counts are not matching for Subject Conversion-material damage,XXX-34064,213192,To Do,XXX,ANIC P&C Migration,Medium,Williams,Claims Conversion,,Coding
custom_note : counts are not matching for Subject :Conversion-Property,XXX-34063,213191,To Do,XXX,ANIC P&C Migration,Medium,Williams,Claims Conversion,,Coding
Stab4_Rating_Commercial Output_Policy Change_TX - Getting Invalid Quote during Policy change OOS transaction.,XXX-34062,213190,Done,XXX,ANIC P&C Migration,Medium,Williams,Rating,,Coding
Prod| GWPC- Duplicate records in SplitPeriod table on 08/07,BBB-8069,213189,New Item,BBB,EDW Production Operations,Medium,Williams,,,Coding
Stab4_PC_GL_NB- Rate is 0 for all the exposures on Quote screen,XXX-34061,213188,Done,XXX,ANIC P&C Migration,Medium,David,PolicyCenter,,Coding
ccst_note: issue at Extraction logic for subject :Conversion-Material Damage,XXX-34059,213186,To Do,XXX,ANIC P&C Migration,Medium,Williams,Claims Conversion,,Coding
ccst_note: issue at Extraction logic for Subject : Conversion-Property,XXX-34058,213185,To Do,XXX,ANIC P&C Migration,Medium,Williams,Claims Conversion,,Coding
3.1: [EWD-5819] : AAA:UnitAtRisk: UnitAtRiskLogicalDeleteIndicator is not populating as per requirement.,AAA-6068,213184,Ready For Test,AAA,AAA,Medium,Williams,,,Coding
Class codes applied to submission not displayed in Quote screen or QPAKT,EEE-1850,213182,To Do,EEE,PolicyCenter,Medium,Williams,PolicyCenter,,Coding
UAT1 IM 7331 02 12 AZ Rolling Stock Coverage - Schedule of Coverages - remove Coinsurance from UI,XXX-34057,213176,Ready for Dev,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Requirements
UAT1 - IM 7331 01 12 Rolling Stock Coverage - Schedule of Coverages issues,XXX-34056,213173,To Do,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab4_CC_Jurisdiction is not set when a new property incident is created/updated for Property,XXX-34055,213171,In Dev,XXX,ANIC P&C Migration,High,John,ClaimCenter,,Coding
UAT1 - CL 1045 not generating on Forms screen and not coming thru in payload - COP & IM,XXX-34054,213161,Blocked,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Coding
UAT1 - Unable to pull payload for MEL policy changes ,XXX-34053,213160,Done,XXX,ANIC P&C Migration,Medium,David,PolicyCenter,,Coding
PROD:  Business Group <None> for General Ledger,CC-5263,213155,To Do,CC,Claim Center,Medium,Williams,ClaimCenter,,Coding
Technical - EventBridge - Initial load (batch data) is not coming via Eventbridge events,AAA-6060,213154,New Item,AAA,AAA,High,Williams,,,Coding
Technical - EventBridge - Messages are coming with blank tables written.,AAA-6059,213153,New Item,AAA,AAA,High,Williams,,,Coding
AAA_Policy_DeductibleBillingTypeCode has NULL values ,AAA-6058,213152,New Item,AAA,AAA,Medium,Martin,,,Coding
Two Commission payments did not get picked up in the BL file,ZZZ-1444,213140,To Do,ZZZ,BillingCenter,Critical,Martin,,,Coding
Correct State of Venue on USLH Claims for CMS Section 111 Reporting,CC-5262,213128,In Dev,CC,Claim Center,Medium,Williams,,,Coding
Prod| GL Paid Loss - 2 records errored out on 08/06,BBB-8068,213127,New Item,BBB,EDW Production Operations,Medium,Martin,,,Coding
CLONE - Stab4_PC_CU_Additional Coverages_Limited Coverage For Designated Unmanned Aircraft (Coverage B Only),XXX-34047,213124,To Do,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
CLONE - Stab4_PC_CU_Additional Coverages_Limited Coverage For Designated Unmanned Aircraft (Coverage A Only),XXX-34046,213123,To Do,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
CLONE - Stab4_PC_CU_Additional Coverages_Limited Coverage For Designated Unmanned Aircraft,XXX-34045,213122,To Do,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Stab4_PC_CU_Additional Coverages_Designated Location(s) Aggregate Limit Of Insurance,XXX-34044,213120,In Dev,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Stab4_PC_CP_NewSubmission_Flood Coverage on Policy & Earthquake Coverage on Policy UWI not trigerred,XXX-34043,213117,In Dev,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
SL - Non EDW Data Is Missing For July Month End,BBB-8067,213112,Done,BBB,EDW Production Operations,Critical,David,,,Coding
Stab4_PC_MEL_NewSubmission - large deductible cov term issues,XXX-34042,213111,Ready for QA,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
UAT1 - Correct Form # for IM 7408 Fine Arts Schedule - Comprehensive Form,XXX-34037,213105,Ready for QA,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab4_Rating_Commercial Output_Policy Change_LA - Premium is NOT matching when we perform Mid Term Policy change and add location.,XXX-34036,213104,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Incorrect Pattern codes displayed for Umbrella and Commercial Auto,XXX-34035,213102,To Do,XXX,ANIC P&C Migration,Very High,Peter,Rating,,Coding
Unable to see roll deposit during policy change transaction,YYY-16541,213097,Cancelled,YYY,ANIC WC Migration,Medium,Williams,Jasper,,Coding
[AAA-5824]: Staging: Unit At Risk: ReportingBureauCode Column is not populating as per requirement.,AAA-6049,213095,Ready For Test,AAA,AAA,Medium,Williams,,,Coding
 Stab 4_XXX-31555-CPP_CP+Crime +GL-At cancellation& reinstatement-notice of cancellation  and cancellation packet still blank-Policy: doc not able to open in QA5&QA6-all doc are not able open,XXX-34034,213094,Cancelled,XXX,ANIC P&C Migration,Very High,Martin,PolicyCenter,,Coding
August Release - CORE Approved Tickets,BBB-8066,213093,Waiting for Data Load,BBB,EDW Production Operations,Medium,David,,,Coding
PatterCode for Actual Loss Sustained Coverage is not valid in Payload,XXX-34033,213091,Done,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
